GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trabalho_final,com.csvop.entidades,Passageiro,0,80,0,2,0,19,0,11,0,10
trabalho_final,com.csvop.entidades,Roteiro,2,106,2,8,0,23,2,11,0,8
trabalho_final,com.csvop.entidades,Viagem,15,30,0,0,2,11,2,5,2,5
trabalho_final,com.csvop.entidades,Bairro,38,87,5,5,7,19,6,10,2,9
trabalho_final,com.csvop.entidades.geometria,Ponto,2,43,1,3,1,10,1,6,0,5
trabalho_final,com.csvop.entidades.geometria,Reta,31,37,2,4,5,11,4,5,2,4
trabalho_final,com.csvop.entidades.geometria,SituacaoReta,0,21,0,0,0,2,0,1,0,1
trabalho_final,com.csvop.entidades.geometria,Area,8,173,5,21,2,33,5,16,0,8
trabalho_final,com.csvop.casosDeUso.Servicos,ServicosPassageiro,0,84,0,0,0,21,0,7,0,7
trabalho_final,com.csvop.interfaces.Persistencia,RepositorioPassageirosImplMem,63,0,0,0,12,0,4,0,4,0
trabalho_final,com.csvop.interfaces.Persistencia,RepositorioBairrosImplMem,150,0,2,0,16,0,4,0,3,0
trabalho_final,com.csvop.casosDeUso.Politicas,CalculoCustoViagemRelampago,41,0,6,0,11,0,6,0,3,0
trabalho_final,com.csvop.casosDeUso.Politicas,CalculoCustoViagemBasico,41,0,0,0,16,0,10,0,10,0
trabalho_final,com.csvop.casosDeUso.Politicas,CustoViagem,0,18,0,0,0,6,0,2,0,2
trabalho_final,com.csvop.casosDeUso.Politicas,CalculoCustoViagemVerao,36,0,4,0,10,0,5,0,3,0
